bee,light_type,bearing,run,date
2016.05.31.14.24,ul,270,1,2016.05.31
2016.05.31.14.24,ul,5,2,2016.05.31
2016.05.31.14.24,ul,20,3,2016.05.31
2016.05.31.14.24,ul,320,4,2016.05.31
2016.05.31.14.24,ul,20,5,2016.05.31
2016.05.31.14.24,ul,35,6,2016.05.31
2016.05.31.14.24,ul,10,7,2016.05.31
2016.05.31.14.24,uh,345,8,2016.05.31
2016.05.31.14.24,uh,340,9,2016.05.31
2016.05.31.14.24,uh,340,10,2016.05.31
2016.05.31.14.24,uh,340,11,2016.05.31
2016.05.31.14.24,uh,330,12,2016.05.31
2016.05.31.14.24,uh,350,13,2016.05.31
2016.05.31.14.24,uh,325,14,2016.05.31
2016.05.31.14.24,uh,335,15,2016.05.31
2016.05.31.14.24,uh,330,16,2016.05.31
2016.05.31.14.24,uh,320,17,2016.05.31
2016.05.31.14.24,uh,325,18,2016.05.31
2016.05.31.14.24,uh,325,19,2016.05.31
2016.05.31.14.24,uh,355,20,2016.05.31
2016.05.31.14.24,uh,340,21,2016.05.31
2016.05.31.14.24,gh,345,22,2016.05.31
2016.05.31.14.24,gh,345,23,2016.05.31
2016.05.31.14.24,gh,325,24,2016.05.31
2016.05.31.14.24,gh,350,25,2016.05.31
2016.05.31.14.24,gh,345,26,2016.05.31
2016.05.31.14.24,gh,355,27,2016.05.31
2016.05.31.14.53,ul,235,1,2016.05.31
2016.05.31.14.53,ul,185,2,2016.05.31
2016.05.31.14.53,ul,100,3,2016.05.31
2016.05.31.14.53,ul,140,4,2016.05.31
2016.05.31.14.53,ul,90,5,2016.05.31
2016.05.31.14.53,ul,190,6,2016.05.31
2016.05.31.14.53,ul,175,7,2016.05.31
2016.05.31.14.53,ul,250,8,2016.05.31
2016.05.31.14.53,ul,130,9,2016.05.31
2016.05.31.14.53,ul,160,10,2016.05.31
2016.05.31.14.53,uh,15,11,2016.05.31
2016.05.31.14.53,uh,45,12,2016.05.31
2016.05.31.14.53,uh,15,13,2016.05.31
2016.05.31.14.53,uh,20,14,2016.05.31
2016.05.31.14.53,uh,40,15,2016.05.31
2016.05.31.14.53,uh,20,16,2016.05.31
2016.05.31.14.53,uh,10,17,2016.05.31
2016.05.31.14.53,uh,50,18,2016.05.31
2016.05.31.14.53,uh,10,19,2016.05.31
2016.05.31.14.53,uh,40,20,2016.05.31
2016.05.31.14.53,uh,40,21,2016.05.31
2016.05.31.14.53,uh,50,22,2016.05.31
2016.05.31.14.53,uh,50,23,2016.05.31
2016.05.31.14.53,gl,10,24,2016.05.31
2016.05.31.14.53,gl,40,25,2016.05.31
2016.05.31.14.53,gl,35,26,2016.05.31
2016.05.31.14.53,gl,20,27,2016.05.31
2016.05.31.14.53,gl,30,28,2016.05.31
2016.05.31.14.53,gl,40,29,2016.05.31
2016.05.31.14.53,gl,20,30,2016.05.31
2016.05.31.14.53,gl,25,31,2016.05.31
2016.05.31.14.53,gl,20,32,2016.05.31
2016.05.31.14.53,gl,40,33,2016.05.31
2016.05.31.14.53,gh,20,34,2016.05.31
2016.05.31.14.53,gh,20,35,2016.05.31
2016.05.31.14.57,ul,200,1,2016.05.31
2016.05.31.14.57,ul,140,2,2016.05.31
2016.05.31.14.57,ul,220,3,2016.05.31
2016.05.31.14.57,ul,150,4,2016.05.31
2016.05.31.14.57,ul,170,5,2016.05.31
2016.05.31.14.57,ul,100,6,2016.05.31
2016.05.31.14.57,ul,155,7,2016.05.31
2016.05.31.14.57,ul,90,8,2016.05.31
2016.05.31.14.57,ul,155,9,2016.05.31
2016.05.31.14.57,uh,355,10,2016.05.31
2016.05.31.14.57,uh,40,11,2016.05.31
2016.05.31.14.57,uh,70,12,2016.05.31
2016.05.31.14.57,uh,30,13,2016.05.31
2016.05.31.14.57,uh,70,14,2016.05.31
2016.05.31.14.57,uh,25,15,2016.05.31
2016.05.31.14.57,uh,20,16,2016.05.31
2016.05.31.14.57,uh,30,17,2016.05.31
2016.05.31.14.57,uh,30,18,2016.05.31
2016.05.31.14.57,uh,70,19,2016.05.31
2016.05.31.14.57,uh,60,20,2016.05.31
2016.05.31.14.57,uh,40,21,2016.05.31
2016.05.31.14.57,uh,60,22,2016.05.31
2016.05.31.14.57,uh,40,23,2016.05.31
2016.05.31.15.14,ul,100,1,2016.05.31
2016.05.31.15.14,ul,110,2,2016.05.31
2016.05.31.15.14,ul,140,3,2016.05.31
2016.05.31.15.14,ul,110,4,2016.05.31
2016.05.31.15.14,ul,140,5,2016.05.31
2016.05.31.15.14,ul,130,6,2016.05.31
2016.05.31.15.14,ul,110,7,2016.05.31
2016.05.31.15.14,ul,95,8,2016.05.31
2016.05.31.15.14,ul,140,9,2016.05.31
2016.05.31.15.14,ul,80,10,2016.05.31
2016.05.31.15.14,ul,120,11,2016.05.31
2016.05.31.15.14,uh,60,12,2016.05.31
2016.05.31.15.14,uh,60,13,2016.05.31
2016.05.31.15.14,uh,50,14,2016.05.31
2016.05.31.15.14,uh,85,15,2016.05.31
2016.05.31.15.14,uh,40,16,2016.05.31
2016.05.31.15.14,uh,40,17,2016.05.31
2016.05.31.15.14,uh,20,18,2016.05.31
2016.05.31.14.18,ul,270,1,2016.05.31
2016.05.31.14.18,ul,260,2,2016.05.31
2016.05.31.14.18,ul,310,3,2016.05.31
2016.05.31.14.18,ul,305,4,2016.05.31
2016.05.31.14.18,ul,10,5,2016.05.31
2016.05.31.14.18,ul,350,6,2016.05.31
2016.05.31.14.18,ul,270,7,2016.05.31
2016.05.31.14.18,ul,310,8,2016.05.31
2016.05.31.14.18,uh,60,9,2016.05.31
2016.05.31.14.18,uh,10,10,2016.05.31
2016.05.31.14.18,uh,5,11,2016.05.31
2016.05.31.14.18,uh,40,12,2016.05.31
2016.05.31.14.18,uh,10,13,2016.05.31
2016.05.31.14.18,uh,5,14,2016.05.31
2016.05.31.14.18,uh,10,15,2016.05.31
2016.05.31.14.18,uh,10,16,2016.05.31
2016.05.31.14.18,uh,30,17,2016.05.31
2016.05.31.14.18,uh,0,18,2016.05.31
2016.05.31.14.18,uh,15,19,2016.05.31
2016.05.31.14.18,uh,15,20,2016.05.31
2016.05.31.14.18,uh,15,21,2016.05.31
2016.05.31.14.18,uh,15,22,2016.05.31
2016.05.31.14.18,gl,5,23,2016.05.31
2016.05.31.14.18,gl,5,24,2016.05.31
2016.05.31.14.18,gl,40,25,2016.05.31
2016.05.31.14.18,gl,20,26,2016.05.31
2016.05.31.14.18,gl,30,27,2016.05.31
2016.05.31.14.18,gl,20,28,2016.05.31
2016.05.31.14.18,gl,60,29,2016.05.31
2016.05.31.14.18,gl,50,30,2016.05.31
2016.05.31.14.18,gl,60,31,2016.05.31
2016.05.31.14.18,gl,60,32,2016.05.31
2016.05.31.14.18,gh,5,33,2016.05.31
2016.05.31.14.18,gh,45,34,2016.05.31
2016.05.31.14.18,gh,40,35,2016.05.31
2016.05.31.14.18,gh,40,36,2016.05.31
2016.05.31.14.18,gh,30,37,2016.05.31
2016.05.31.14.02,ul,200,1,2016.05.31
2016.05.31.14.02,ul,310,2,2016.05.31
2016.05.31.14.02,ul,230,3,2016.05.31
2016.05.31.14.02,ul,240,4,2016.05.31
2016.05.31.14.02,ul,230,5,2016.05.31
2016.05.31.14.02,ul,225,6,2016.05.31
2016.05.31.14.02,ul,130,7,2016.05.31
2016.05.31.14.02,ul,150,8,2016.05.31
2016.05.31.14.02,ul,240,9,2016.05.31
2016.05.31.14.02,uh,265,10,2016.05.31
2016.05.31.14.02,uh,300,11,2016.05.31
2016.05.31.14.02,uh,260,12,2016.05.31
2016.05.31.14.02,uh,255,13,2016.05.31
2016.05.31.14.02,uh,270,14,2016.05.31
2016.05.31.14.02,uh,240,15,2016.05.31
2016.05.31.14.02,uh,280,16,2016.05.31
2016.05.31.14.02,uh,250,17,2016.05.31
2016.05.31.14.02,uh,310,18,2016.05.31
2016.05.31.14.02,uh,260,19,2016.05.31
2016.05.31.14.02,uh,310,20,2016.05.31
2016.06.06.14.10,ul,305,1,2016.06.06
2016.06.06.14.10,ul,115,2,2016.06.06
2016.06.06.14.10,ul,310,3,2016.06.06
2016.06.06.14.10,ul,20,4,2016.06.06
2016.06.06.14.10,ul,140,5,2016.06.06
2016.06.06.14.10,ul,0,6,2016.06.06
2016.06.06.14.10,ul,140,7,2016.06.06
2016.06.06.14.10,ul,15,8,2016.06.06
2016.06.06.14.10,ul,40,9,2016.06.06
2016.06.06.14.10,ul,5,10,2016.06.06
2016.06.06.14.10,ul,30,11,2016.06.06
2016.06.06.14.10,ul,55,12,2016.06.06
2016.06.06.14.10,uh,330,13,2016.06.06
2016.06.06.14.10,uh,350,14,2016.06.06
2016.06.06.14.10,uh,30,15,2016.06.06
2016.06.06.14.10,uh,350,16,2016.06.06
2016.06.06.14.10,uh,335,17,2016.06.06
2016.06.06.14.10,uh,0,18,2016.06.06
2016.06.06.14.10,uh,340,19,2016.06.06
2016.06.06.14.10,uh,355,20,2016.06.06
2016.06.06.14.10,uh,10,21,2016.06.06
2016.06.06.14.10,uh,335,22,2016.06.06
2016.06.06.14.10,uh,5,23,2016.06.06
2016.06.06.14.10,uh,355,24,2016.06.06
2016.06.06.14.10,uh,295,25,2016.06.06
2016.06.06.14.10,uh,330,26,2016.06.06
2016.06.06.14.10,gl,0,27,2016.06.06
2016.06.06.14.10,gl,30,28,2016.06.06
2016.06.06.14.10,gl,25,29,2016.06.06
2016.06.06.14.10,gl,55,30,2016.06.06
2016.06.06.14.10,gl,35,31,2016.06.06
2016.06.06.14.10,gl,10,32,2016.06.06
2016.06.06.14.10,gl,5,33,2016.06.06
2016.06.06.14.10,gl,15,34,2016.06.06
2016.06.06.14.10,gl,20,35,2016.06.06
2016.06.06.14.10,gl,20,36,2016.06.06
2016.06.06.14.10,gl,20,37,2016.06.06
2016.06.06.14.10,gl,120,38,2016.06.06
2016.06.06.14.10,gl,330,39,2016.06.06
2016.06.06.14.10,gl,355,40,2016.06.06
2016.06.06.14.16,ul,155,1,2016.06.06
2016.06.06.14.16,ul,180,2,2016.06.06
2016.06.06.14.16,ul,165,3,2016.06.06
2016.06.06.14.16,ul,185,4,2016.06.06
2016.06.06.14.16,ul,190,5,2016.06.06
2016.06.06.14.16,ul,225,6,2016.06.06
2016.06.06.14.16,ul,195,7,2016.06.06
2016.06.06.14.16,ul,220,8,2016.06.06
2016.06.06.14.16,ul,180,9,2016.06.06
2016.06.06.14.16,ul,190,10,2016.06.06
2016.06.06.14.16,ul,205,11,2016.06.06
2016.06.06.14.16,ul,240,12,2016.06.06
2016.06.06.14.16,ul,180,13,2016.06.06
2016.06.06.14.16,ul,230,14,2016.06.06
2016.06.06.14.16,uh,140,15,2016.06.06
2016.06.06.14.16,uh,140,16,2016.06.06
2016.06.06.14.16,uh,150,17,2016.06.06
2016.06.06.14.16,uh,140,18,2016.06.06
2016.06.06.14.22,ul,120,1,2016.06.06
2016.06.06.14.22,ul,145,2,2016.06.06
2016.06.06.14.22,ul,320,3,2016.06.06
2016.06.06.14.22,ul,170,4,2016.06.06
2016.06.06.14.22,ul,160,5,2016.06.06
2016.06.06.14.22,ul,170,6,2016.06.06
2016.06.06.14.22,ul,155,7,2016.06.06
2016.06.06.14.22,ul,190,8,2016.06.06
2016.06.06.14.22,ul,185,9,2016.06.06
2016.06.06.14.22,ul,185,10,2016.06.06
2016.06.06.14.22,ul,150,11,2016.06.06
2016.06.06.14.22,ul,165,12,2016.06.06
2016.06.06.14.22,ul,155,13,2016.06.06
2016.06.06.14.22,ul,180,14,2016.06.06
2016.06.06.14.22,ul,175,15,2016.06.06
2016.06.06.14.22,ul,190,16,2016.06.06
2016.06.06.14.22,ul,165,17,2016.06.06
2016.06.06.14.22,ul,155,18,2016.06.06
2016.06.06.14.22,ul,160,19,2016.06.06
2016.06.06.14.22,uh,35,20,2016.06.06
2016.06.06.14.22,uh,30,21,2016.06.06
2016.06.06.14.22,uh,45,22,2016.06.06
2016.06.06.14.22,uh,40,23,2016.06.06
2016.06.06.14.22,uh,80,24,2016.06.06
2016.06.06.14.22,uh,35,25,2016.06.06
2016.06.06.14.22,uh,60,26,2016.06.06
2016.06.06.14.22,uh,30,27,2016.06.06
2016.06.06.14.22,uh,40,28,2016.06.06
2016.06.06.14.22,uh,50,29,2016.06.06
2016.06.06.14.22,uh,10,30,2016.06.06
2016.06.06.14.22,uh,50,31,2016.06.06
2016.06.06.14.22,uh,65,32,2016.06.06
2016.06.06.14.22,uh,90,33,2016.06.06
2016.06.06.14.22,uh,85,34,2016.06.06
2016.06.06.14.22,uh,35,35,2016.06.06
2016.06.06.14.22,uh,55,36,2016.06.06
2016.06.06.14.22,uh,40,37,2016.06.06
2016.06.06.14.22,uh,110,38,2016.06.06
2016.06.06.14.22,gl,165,39,2016.06.06
2016.06.06.14.22,gl,120,40,2016.06.06
2016.06.06.14.22,gl,120,41,2016.06.06
2016.06.06.14.22,gl,170,42,2016.06.06
2016.06.06.14.22,gl,90,43,2016.06.06
2016.06.06.14.22,gl,150,44,2016.06.06
2016.06.06.14.22,gl,160,45,2016.06.06
2016.06.06.14.22,gl,175,46,2016.06.06
2016.06.06.14.22,gl,40,47,2016.06.06
2016.06.06.14.22,gl,160,48,2016.06.06
2016.06.06.14.22,gl,155,49,2016.06.06
2016.06.06.14.22,gl,120,50,2016.06.06
2016.06.06.14.22,gl,110,51,2016.06.06
2016.06.06.14.22,gl,200,52,2016.06.06
2016.06.06.14.22,gl,140,53,2016.06.06
2016.06.06.14.22,gl,140,54,2016.06.06
2016.06.06.14.22,gl,130,55,2016.06.06
2016.06.06.14.22,gl,60,56,2016.06.06
2016.06.06.14.22,gh,40,57,2016.06.06
2016.06.06.14.22,gh,30,58,2016.06.06
2016.06.06.14.22,gh,70,59,2016.06.06
2016.06.06.14.22,gh,90,60,2016.06.06
2016.06.06.14.22,gh,130,61,2016.06.06
2016.06.06.14.49,ul,170,1,2016.06.06
2016.06.06.14.49,ul,155,2,2016.06.06
2016.06.06.14.49,ul,170,3,2016.06.06
2016.06.06.14.49,ul,130,4,2016.06.06
2016.06.06.14.49,ul,165,5,2016.06.06
2016.06.06.14.49,ul,150,6,2016.06.06
2016.06.06.14.49,ul,160,7,2016.06.06
2016.06.06.14.49,ul,155,8,2016.06.06
2016.06.06.14.49,ul,220,9,2016.06.06
2016.06.06.14.49,ul,150,10,2016.06.06
2016.06.06.14.49,ul,175,11,2016.06.06
2016.06.06.14.49,ul,150,12,2016.06.06
2016.06.06.14.49,ul,190,13,2016.06.06
2016.06.06.14.49,ul,185,14,2016.06.06
2016.06.06.14.49,ul,175,15,2016.06.06
2016.06.06.14.49,uh,25,16,2016.06.06
2016.06.06.14.49,uh,50,17,2016.06.06
2016.06.06.14.49,uh,30,18,2016.06.06
2016.06.06.14.49,uh,90,19,2016.06.06
2016.06.06.14.49,uh,30,20,2016.06.06
2016.06.06.14.49,uh,40,21,2016.06.06
2016.06.06.14.49,uh,35,22,2016.06.06
2016.06.22.13.54,ul,355,1,2016.06.22
2016.06.22.13.54,ul,230,2,2016.06.22
2016.06.22.13.54,ul,0,3,2016.06.22
2016.06.22.13.54,ul,330,4,2016.06.22
2016.06.22.13.54,ul,260,5,2016.06.22
2016.06.22.13.54,ul,240,6,2016.06.22
2016.06.22.13.54,ul,330,7,2016.06.22
2016.06.22.13.54,ul,40,8,2016.06.22
2016.06.22.13.54,ul,320,9,2016.06.22
2016.06.22.13.54,ul,10,10,2016.06.22
2016.06.22.13.54,uh,290,11,2016.06.22
2016.06.22.13.54,uh,275,12,2016.06.22
2016.06.22.13.54,uh,305,13,2016.06.22
2016.06.22.13.54,uh,290,14,2016.06.22
2016.06.22.13.54,uh,290,15,2016.06.22
2016.06.22.13.54,uh,270,16,2016.06.22
2016.06.22.13.54,uh,285,17,2016.06.22
2016.06.22.13.54,uh,280,18,2016.06.22
2016.06.22.13.54,uh,320,19,2016.06.22
2016.06.22.13.54,uh,290,20,2016.06.22
2016.06.22.13.54,uh,290,21,2016.06.22
2016.06.22.13.54,uh,275,22,2016.06.22
2016.06.22.13.54,uh,275,23,2016.06.22
2016.06.22.13.54,uh,310,24,2016.06.22
2016.06.22.13.54,uh,295,25,2016.06.22
2016.06.22.13.54,uh,300,26,2016.06.22
2016.06.22.13.54,gh,300,27,2016.06.22
2016.06.22.13.54,gh,290,28,2016.06.22
2016.06.22.13.54,gh,300,29,2016.06.22
2016.06.22.13.54,gh,270,30,2016.06.22
2016.06.22.13.54,gh,315,31,2016.06.22
2016.06.22.14.11,ul,210,1,2016.06.22
2016.06.22.14.11,ul,335,2,2016.06.22
2016.06.22.14.11,ul,35,3,2016.06.22
2016.06.22.14.11,ul,15,4,2016.06.22
2016.06.22.14.11,ul,55,5,2016.06.22
2016.06.22.14.11,ul,15,6,2016.06.22
2016.06.22.14.11,ul,20,7,2016.06.22
2016.06.22.14.11,ul,315,8,2016.06.22
2016.06.22.14.11,ul,5,9,2016.06.22
2016.06.22.14.11,ul,120,10,2016.06.22
2016.06.22.14.11,uh,300,11,2016.06.22
2016.06.22.14.11,uh,350,12,2016.06.22
2016.06.22.14.11,uh,20,13,2016.06.22
2016.06.22.14.11,uh,310,14,2016.06.22
2016.06.22.14.11,uh,355,15,2016.06.22
2016.06.22.14.11,uh,290,16,2016.06.22
2016.06.22.14.11,uh,340,17,2016.06.22
2016.06.22.14.11,uh,250,18,2016.06.22
2016.06.22.14.11,uh,340,19,2016.06.22
2016.06.22.14.11,uh,330,20,2016.06.22
2016.06.22.14.11,gh,305,21,2016.06.22
2016.06.22.14.11,gh,325,22,2016.06.22
2016.06.22.14.11,gh,320,23,2016.06.22
2016.06.22.14.11,gh,320,24,2016.06.22
2016.06.22.14.11,gh,330,25,2016.06.22
2016.06.22.14.11,gh,320,26,2016.06.22
2016.06.22.14.33,ul,350,1,2016.06.22
2016.06.22.14.33,ul,330,2,2016.06.22
2016.06.22.14.33,ul,140,3,2016.06.22
2016.06.22.14.33,ul,170,4,2016.06.22
2016.06.22.14.33,ul,145,5,2016.06.22
2016.06.22.14.33,ul,190,6,2016.06.22
2016.06.22.14.33,ul,170,7,2016.06.22
2016.06.22.14.33,ul,165,8,2016.06.22
2016.06.22.14.33,ul,160,9,2016.06.22
2016.06.22.14.33,ul,210,10,2016.06.22
2016.06.22.14.33,ul,210,11,2016.06.22
2016.06.22.14.33,ul,200,12,2016.06.22
2016.06.22.14.33,ul,285,13,2016.06.22
2016.06.22.14.33,ul,270,14,2016.06.22
2016.06.22.14.33,ul,130,15,2016.06.22
2016.06.22.14.33,ul,175,16,2016.06.22
2016.06.22.14.33,ul,155,17,2016.06.22
2016.06.22.14.33,ul,140,18,2016.06.22
2016.06.22.14.33,uh,250,19,2016.06.22
2016.06.22.14.33,uh,170,20,2016.06.22
2016.06.22.14.33,uh,230,21,2016.06.22
2016.06.22.14.33,uh,195,22,2016.06.22
2016.06.22.14.33,uh,240,23,2016.06.22
2016.06.22.14.33,uh,230,24,2016.06.22
2016.06.22.14.33,uh,220,25,2016.06.22
2016.06.22.14.33,uh,245,26,2016.06.22
2016.06.22.14.43,ul,35,1,2016.06.22
2016.06.22.14.43,ul,60,2,2016.06.22
2016.06.22.14.43,ul,60,3,2016.06.22
2016.06.22.14.43,ul,65,4,2016.06.22
2016.06.22.14.43,ul,30,5,2016.06.22
2016.06.22.14.43,ul,20,6,2016.06.22
2016.06.22.14.43,ul,75,7,2016.06.22
2016.06.22.14.43,ul,50,8,2016.06.22
2016.06.22.14.43,ul,50,9,2016.06.22
2016.06.22.14.43,ul,50,10,2016.06.22
2016.06.22.14.43,ul,50,11,2016.06.22
2016.06.22.14.43,ul,45,12,2016.06.22
2016.06.22.14.43,ul,10,13,2016.06.22
2016.06.22.14.43,ul,15,14,2016.06.22
2016.06.22.14.43,uh,330,15,2016.06.22
2016.06.22.14.43,uh,0,16,2016.06.22
2016.06.22.14.43,uh,325,17,2016.06.22
2016.06.22.14.43,uh,5,18,2016.06.22
2016.06.22.14.43,uh,5,19,2016.06.22
2016.06.22.14.43,uh,355,20,2016.06.22
2016.06.22.14.43,uh,355,21,2016.06.22
2016.06.22.14.43,uh,330,22,2016.06.22
2016.06.22.14.43,uh,5,23,2016.06.22
2016.06.22.14.43,uh,350,24,2016.06.22
2016.06.22.14.43,uh,15,25,2016.06.22
2016.06.22.14.43,uh,335,26,2016.06.22
2016.06.22.14.43,uh,340,27,2016.06.22
2016.06.22.14.43,uh,340,28,2016.06.22
2016.06.22.14.43,uh,350,29,2016.06.22
2016.06.22.14.43,uh,345,30,2016.06.22
2016.06.22.14.43,uh,355,31,2016.06.22
2016.06.22.14.43,uh,5,32,2016.06.22
2016.06.22.14.43,uh,330,33,2016.06.22
2016.06.22.14.43,uh,5,34,2016.06.22
2016.06.22.15.40,ul,55,1,2016.06.22
2016.06.22.15.40,ul,50,2,2016.06.22
2016.06.22.15.40,ul,55,3,2016.06.22
2016.06.22.15.40,ul,5,4,2016.06.22
2016.06.22.15.40,ul,325,5,2016.06.22
2016.06.22.15.40,ul,85,6,2016.06.22
2016.06.22.15.40,ul,50,7,2016.06.22
2016.06.22.15.40,ul,90,8,2016.06.22
2016.06.22.15.40,ul,350,9,2016.06.22
2016.06.22.15.40,ul,35,10,2016.06.22
2016.06.22.15.40,ul,130,11,2016.06.22
2016.06.22.15.40,ul,305,12,2016.06.22
2016.06.22.15.40,ul,355,13,2016.06.22
2016.06.22.15.40,ul,140,14,2016.06.22
2016.06.22.15.40,ul,120,15,2016.06.22
2016.06.22.15.40,ul,130,16,2016.06.22
2016.06.22.15.40,ul,85,17,2016.06.22
2016.06.22.15.40,ul,95,18,2016.06.22
2016.06.22.15.40,ul,105,19,2016.06.22
2016.06.22.15.40,ul,115,20,2016.06.22
2016.06.22.15.40,ul,40,21,2016.06.22
2016.06.22.15.40,ul,100,22,2016.06.22
2016.06.22.15.40,ul,80,23,2016.06.22
2016.06.22.15.40,ul,55,24,2016.06.22
2016.06.22.15.40,ul,150,25,2016.06.22
2016.06.22.15.40,ul,145,26,2016.06.22
2016.06.22.15.40,uh,0,27,2016.06.22
2016.06.22.15.40,uh,10,28,2016.06.22
2016.06.22.15.40,uh,355,29,2016.06.22
2016.06.22.15.40,uh,20,30,2016.06.22
2016.06.22.15.40,uh,10,31,2016.06.22
2016.06.22.15.40,uh,70,32,2016.06.22
2016.06.22.15.40,uh,5,33,2016.06.22
2016.06.22.15.40,uh,40,34,2016.06.22
2016.06.22.15.40,uh,5,35,2016.06.22
2016.06.22.15.40,uh,30,36,2016.06.22
2016.06.22.15.40,uh,10,37,2016.06.22
2016.06.22.15.40,uh,55,38,2016.06.22
2016.06.22.15.40,uh,60,39,2016.06.22
2016.06.22.15.40,uh,10,40,2016.06.22
2016.06.22.15.40,uh,40,41,2016.06.22
2016.06.22.15.40,uh,20,42,2016.06.22
2016.06.22.15.40,uh,30,43,2016.06.22
2016.06.22.15.40,uh,0,44,2016.06.22
2016.06.22.15.40,uh,20,45,2016.06.22
2016.06.22.15.40,uh,20,46,2016.06.22
2016.06.22.15.40,uh,30,47,2016.06.22
2016.06.22.15.40,gh,0,48,2016.06.22
2016.06.22.15.40,gh,355,49,2016.06.22
2016.06.22.15.40,gh,350,50,2016.06.22
2016.06.23.13.24,ul,310,1,2016.06.23
2016.06.23.13.24,ul,355,2,2016.06.23
2016.06.23.13.24,ul,340,3,2016.06.23
2016.06.23.13.24,ul,345,4,2016.06.23
2016.06.23.13.24,ul,340,5,2016.06.23
2016.06.23.13.24,ul,275,6,2016.06.23
2016.06.23.13.24,ul,350,7,2016.06.23
2016.06.23.13.24,ul,340,8,2016.06.23
2016.06.23.13.24,ul,320,9,2016.06.23
2016.06.23.13.24,ul,305,10,2016.06.23
2016.06.23.13.24,ul,350,11,2016.06.23
2016.06.23.13.24,uh,190,12,2016.06.23
2016.06.23.13.24,uh,245,13,2016.06.23
2016.06.23.13.24,uh,200,14,2016.06.23
2016.06.23.13.24,uh,250,15,2016.06.23
2016.06.23.13.24,uh,200,16,2016.06.23
2016.06.23.13.24,uh,215,17,2016.06.23
2016.06.23.13.24,uh,210,18,2016.06.23
2016.06.23.13.24,uh,220,19,2016.06.23
2016.06.23.13.24,uh,180,20,2016.06.23
2016.06.23.13.24,uh,200,21,2016.06.23
2016.06.23.13.24,uh,210,22,2016.06.23
2016.06.23.13.24,uh,210,23,2016.06.23
2016.06.23.13.24,uh,230,24,2016.06.23
2016.06.23.13.24,uh,200,25,2016.06.23
2016.06.23.13.24,uh,230,26,2016.06.23
2016.06.23.13.24,uh,220,27,2016.06.23
2016.06.23.13.24,uh,230,28,2016.06.23
2016.06.23.13.24,uh,205,29,2016.06.23
2016.06.28.14.12,ul,165,1,2016.06.28
2016.06.28.14.12,ul,200,2,2016.06.28
2016.06.28.14.12,ul,185,3,2016.06.28
2016.06.28.14.12,ul,200,4,2016.06.28
2016.06.28.14.12,ul,180,5,2016.06.28
2016.06.28.14.12,ul,215,6,2016.06.28
2016.06.28.14.12,ul,240,7,2016.06.28
2016.06.28.14.12,ul,335,8,2016.06.28
2016.06.28.14.12,ul,280,9,2016.06.28
2016.06.28.14.12,ul,330,10,2016.06.28
2016.06.28.14.12,ul,320,11,2016.06.28
2016.06.28.14.12,ul,225,12,2016.06.28
2016.06.28.14.12,ul,285,13,2016.06.28
2016.06.28.14.12,ul,290,14,2016.06.28
2016.06.28.14.12,ul,250,15,2016.06.28
2016.06.28.14.12,ul,325,16,2016.06.28
2016.06.28.14.12,ul,300,17,2016.06.28
2016.06.28.14.12,ul,270,18,2016.06.28
2016.06.28.14.12,ul,265,19,2016.06.28
2016.06.28.14.12,ul,290,20,2016.06.28
2016.06.28.14.12,ul,290,21,2016.06.28
2016.06.28.14.12,uh,265,22,2016.06.28
2016.06.28.14.12,uh,220,23,2016.06.28
2016.06.28.14.12,uh,210,24,2016.06.28
2016.06.28.14.12,uh,295,25,2016.06.28
2016.06.28.14.12,uh,260,26,2016.06.28
2016.06.28.14.12,uh,220,27,2016.06.28
2016.06.28.14.12,uh,225,28,2016.06.28
2016.06.28.14.12,uh,250,29,2016.06.28
2016.06.28.14.12,uh,240,30,2016.06.28
2016.06.28.14.12,uh,265,31,2016.06.28
2016.06.28.14.12,uh,230,32,2016.06.28
2016.06.28.14.12,uh,250,33,2016.06.28
2016.06.28.14.12,uh,230,34,2016.06.28
2016.06.28.14.12,uh,260,35,2016.06.28
2016.06.28.14.12,uh,210,36,2016.06.28
2016.06.28.14.12,uh,275,37,2016.06.28
2016.06.28.14.12,uh,240,38,2016.06.28
2016.06.28.14.41,ul,330,1,2016.06.28
2016.06.28.14.41,ul,330,2,2016.06.28
2016.06.28.14.41,ul,220,3,2016.06.28
2016.06.28.14.41,ul,220,4,2016.06.28
2016.06.28.14.41,ul,330,5,2016.06.28
2016.06.28.14.41,ul,310,6,2016.06.28
2016.06.28.14.41,ul,0,7,2016.06.28
2016.06.28.14.41,ul,345,8,2016.06.28
2016.06.28.14.41,ul,0,9,2016.06.28
2016.06.28.14.41,ul,335,10,2016.06.28
2016.06.28.14.41,ul,280,11,2016.06.28
2016.06.28.14.41,ul,320,12,2016.06.28
2016.06.28.14.41,ul,320,13,2016.06.28
2016.06.28.14.41,ul,330,14,2016.06.28
2016.06.28.14.41,uh,260,15,2016.06.28
2016.06.28.14.41,uh,280,16,2016.06.28
2016.06.28.14.41,uh,250,17,2016.06.28
2016.06.28.14.41,uh,315,18,2016.06.28
2016.06.28.14.41,uh,260,19,2016.06.28
2016.06.28.14.41,uh,255,20,2016.06.28
2016.06.28.14.41,uh,270,21,2016.06.28
2016.06.28.14.41,uh,260,22,2016.06.28
2016.06.28.15.27,ul,170,1,2016.06.28
2016.06.28.15.27,ul,265,2,2016.06.28
